第一部类　三洞真经
CH1971-4-08 十月二十一日琼山老叟白某致书 19-574

CH1972 静余玄问-正统道藏正一部 19-577
CH1973 碧虚子亲传直指-正统道藏洞 真部方法类 19-580
CH1974 长生指要篇-正统道藏太玄部 19-584
CH1974-0 序 19-584
CH1974-1 第一 19-584
CH1974-2 第二 19-585
CH1974-3 第三 19-586
CH1974-4 第四 19-587
CH1974-5 第五 19-587
CH1974-6 第六 19-587
CH1974-7 第七 19-589
CH1974-8 金丹合潮候图 19-590
CH1974-9 潮候之图 19-590
CH1975 金丹直指(并序)-正统道藏太玄部 19-591
CH1976 爰清子至命篇-正统道藏太玄部 19-596



CH1976-0 序 19-596
CH1976-1 卷上 19-596
CH1976-1-1 先天四象之图 19-596
CH1976-1-2 后天四象之图 19-596
CH1976-1-3 安炉立鼎之图 19-597
CH1976-1-4 排符进火之图 19-597
CH1976-1-5 九转神功之图 19-598
CH1976-2 卷下 19-599
CH1976-2-1 入道诗 19-599
CH1976-2-2 注沁园春 19-600
CH1977 三极至命筌蹄-正统道藏洞真部众术类 19-604

CH1977-01 三极至命筌蹄 19-604
CH1977-02 五车三乘 19-605

羊车小乘．鹿车中乘．牛车大乘．大牛车大乘．大白牛车无上乘．
CH1977-03 注紫清白真人金液大还外丹诀 19-608
CH1977-04 述赞纯阳真人霜天晓角 19-611
CH1977-05 天宝炼神混元入药妙诀 19-611
CH1977-06 炼药指真歌 19-611
CH1977-07 丹经举要 19-612
CH1977-08 三要总叙 19-612
CH1977-09 三关总叙 19-612
CH1977-10 九鼎总叙 19-612
CH1977-11 阴符破迷赞 19-612
CH1977-12 古仙真诀集句 19-612
CH1977-13 修真六用 19-613
CH1977-14 五空颂 19-613
CH1977-15 修丹十戒 19-614
CH1977-16 修仙善恶劝戒 19-614
CH1978 玉溪子丹经指要-正统道藏洞真部方法类 19-616
CH1978-1 混元仙派之图 19-616
CH1978-2 玉溪子丹经指要序 19-617
CH1978-3 卷上 19-618
CH1978-301 交会图 19-618
CH1978-302 三五一都图 19-618
CH1978-303 一曰九还七返 19-618
CH1978-304 一曰鼎器 19-618
CH1978-305 一曰真铅 19-619
CH1978-306 一曰真汞 19-619
CH1978-307 一曰真土 19-619
CH1978-308 一曰刀圭 19-619
CH1978-309 一曰媒人 19-619
CH1978-310 一曰采取 19-619
CH1978-311 一曰融结 19-620
CH1978-312 一曰烹炼 19-620
CH1978-313 一曰金木交并 19-620
CH1978-314 一曰水源清浊 19-620
CH1978-315 一曰温养 19-620



CH1978-316 一曰火候 19-620
CH1978-317 一曰沐浴 19-621
CH1978-318 一曰脱胎 19-621
CH1978-4 卷中 19-622
CH1978-41 长生久视之书 19-622
CH1978-42 辨惑论 19-625
CH1978-43 丹房法语 19-627
CH1978-44 羲皇作用 19-627
CH1978-5 卷下 19-628
CH1978-51 张紫阳赠白龙洞刘道人歌 19-628
CH1978-52 规中图十二字诀序 19-630
CH1978-53 规中图 19-631
CH1978-54 解纯阳真人沁春园 19-632
CH1978-55 沁春园 19-632
CH1978-56 密语诗五首 19-634
CH1978-57 赞纯阳仙像 19-634
CH1979 养生秘录-正统道藏洞玄部众术类 19-636
CH1979-1 玉溪子丹房语录 19-636
CH1979-2 玉溪子宜春心诀 19-636
CH1979-3 规中图 19-636
CH1979-4 中黄内旨 19-637
CH1979-5 四段锦 19-638
CH1979-6 青霞翁丹经直指 19-638
CH1979-7 大道歌 19-642
CH1979-8 金丹问答 19-642
CH1980 紫团丹经-正统道藏洞神部方法类 19-648

CH1980-01 紫团丹经 19-648
CH1980-02 金丹秘诀 19-648
CH1980-03 偃月玄金篇序 19-650
CH1980-04 神室炼养金丹第一 19-651
CH1980-05 采红雪炼为阳丹第二 19-651
CH1980-06 采取阴阳真丹第三 19-651
CH1980-07 还丹证明诀第四 19-652
CH1980-08 九还七返配类和合第五 19-652
CH1980-09 红铅黑汞作丹头第六 19-653
CH1980-10 偃月炉养丹火候第七 19-654
CH1981 太上修真体元妙道经-正统道藏洞真部本文类 19-656

CH1981-01 混极未判章第一 19-656
CH1981-02 朴散分形章第二 19-656
CH1981-03 一炁分三章第三 19-656
CH1981-04 炁开象兆章第四 19-657
CH1981-05 万象含化章第五 19-657
CH1981-06 因虚化实章第六 19-657
CH1981-07 性情化育章第七 19-658
CH1981-08 日月星炁章第八 19-658
CH1981-09 默参顺体章第九 19-659
CH1981-10 甲庚应数章第十 19-659



CH1981-11 存思养真章第十一 19-659
CH1981-12 得一成道章第十二 19-659
CH1981-13 得象无象章第十三 19-660
CH1981-14 育神团炁章第十四 19-660
CH1981-15 神化出入章第十五 19-660
CH1981-16 破惑守一章第十六 19-660
CH1981-17 无水无火章第十七 19-661
CH1981-18 守一生神章第十八 19-661
CH1981-19 神炁成胎章第十九 19-661
CH1981-20 修德济物章第二十 19-662
CH1981-21 尊师谢祖章第二十一 19-662
CH1981-22 已得不得章第二十二 19-662
CH1981-23 济生度死章第二十三 19-662
CH1981-24 大经圆满章第二十四 19-663
CH1982 太上开明天地本真经-正统道藏洞真部本文类 19-664
CH19-83 真仙秘传火候法-正统道藏洞真部众术类 19-666
CH1983 真仙秘传火候法 19-666

行武火六十四时中火候．行水．方便真人露火机
CH19-84 还丹秘诀养赤子神方-正统道藏洞真部方法类 19-669
CH1984 还丹秘诀养赤子神方 19-669

神室．刻漏．时晷．追二炁．会三性．簇五行．进火．温水．脱胎．神化．修真传派
CH1985 许真君石函记-正统道藏洞真部众术类 19-672
CH1985-0 序．目录 19-672
CH1985-1 卷上 19-672
CH1985-11 太阳元晶论 19-673
CH1985-12 日月雌雄论 19-675
CH1985-13 药母论 19-676
CH1985-14 药物是非论 19-677
CH1985-15 丹砂证道歌 19-679
CH1985-2 卷下 19-679
CH1985-21 圣石指玄篇 19-679
CH1985-22 神室玄明篇 19-680
CH1985-23 金鼎虚无论 19-683
CH1985-24 明堂正德论 19-685
CH1986 金丹正宗-正统道藏太玄部 19-688
CH1987 先天金丹大道玄奥口诀-正统道藏洞真部众术类 19-692
CH1987-0 序 19-692
CH1987-1 先天金丹大道玄奥口诀 19-693
CH1987-2 金丹药物直指图 19-693
CH1987-3 口诀直指 19-694
CH1987-4 金丹大道指迷颂 19-695
CH1987-5 后序 19-695
CH1988 金液大丹口诀-正统道藏洞真部众术类 19-697
CH1988-0 序 19-697
CH1988-1 金液大丹口诀 19-698
CH1988-2 诗(十七首) 19-698

初习坐．下手．工夫到时．火候．拟时要准．物药景象．升结交结．抽添妙用．浮沉沐浴．紫河车．聚散变化．养成炁母．百日基成．沐浴忌日．移神换项．温养胎仙．先然神化



CH1988-3 西江月 19-699
CH1988-4 安乐歌 19-699
CH1988-5 归真篇 19-700
CH1988-6 抽添诗 19-700
CH1989 了明篇-正统道藏洞真部 19-701
CH1989-0 序 19-701
CH1989-1 遇真歌 19-701
CH1989-2 解迷歌 19-701
CH1989-3 和朗然子进道诗(三十首) 19-702
CH1989-4 词 19-704

苏幕遮．丑奴儿．沁园春．武陵春．丑奴儿．太常引．点绛唇．捣练子．临江仙．丑奴儿．浪淘沙．糖多令．桃源忆故人．惜黄花．阮郎归．武陵春
CH1990 丹经极论-正统道藏洞真部方法类 19-707
CH1990-1 丹经极论 19-707
CH1990-2 外药火候 19-708
CH1990-3 内药运功 19-709
CH1990-4 出神 19-709
CH1990-5 悟真遗篇 19-710
CH1990-6 还丹复命遗篇 19-710
CH1991 存神固气论-正统道藏洞玄部众术类 19-711

CH1991-01 炉鼎地位 19-711
CH1991-02 阴阳颠倒 19-711
CH1991-03 阴阳老少 19-711
CH1991-04 水火相求 19-711
CH1991-05 金木相刑 19-711
CH1991-06 五行还返 19-711
CH1991-07 王气盛衰 19-711
CH1991-08 添进火候 19-712
CH1991-09 龙虎关轴 19-712
CH1991-10 惰性动静 19-712
CH1991-11 身分色化 19-712
CH1991-12 胎息真趣 19-712
CH1991-13 寂灭无为 19-712
CH1991-14 形神俱妙法 19-712
CH1991-15 中源篇 19-713
CH1992 金液还丹印证图-正统道藏洞真部灵图类 19-714
CH1992-0 序 19-714
CH1992-01 金液还丹印证图 19-715
CH1992-02 原本 19-715
CH1992-03 警悟 19-715
CH1992-04 乾坤 19-715
CH1992-05 鼎器 19-716
CH1992-06 铅汞 19-716
CH1992-07 和合 19-716
CH1992-08 真土 19-717
CH1992-09 采取 19-717
CH1992-10 制度 19-717
CH1992-11 辅佐 19-718



CH1992-12 服丹 19-718
CH1992-13 九鼎 19-718
CH1992-14 进火 19-719
CH1992-15 退火 19-719
CH1992-16 抽添 19-719
CH1992-17 沐浴 19-720
CH1992-18 金液 19-720
CH1992-19 抱元 19-720
CH1992-20 朝元 19-721
CH1992-21 还元 19-721
CH1992-22 炼丹行 19-721
CH1992-23 指迷箴 19-721
CH1992-24 后识 19-722
CH1993 修真太极混元图-正统道藏洞真部灵图类 19-724
CH1993-0 序 19-724
CH1993-01 修真太极混元图 19-725
CH1993-02 三景之图 19-725
CH1993-03 三才定位分道图 19-725
CH1993-04 天地阴阳升降之图 19-725
CH1993-05 日月弦望图 19-726
CH1993-06 天地日月时候与人参同图 19-726
CH1993-07 不知修炼耗散走失图 19-726
CH1993-08 人世七十二福地之图 19-727
CH1993-09 海中三岛十洲之图 19-727
CH1993-10 虚无洞天图 19-727
CH1993-11 生死路邪正图 19-728
CH1993-12 信心入道仙凡图 19-728
CH1993-13 三田五行正道图 19-728
CH1993-14 五行配象图 19-729
CH1993-15 真五行颠倒图 19-729
CH1993-16 真五行交合传送图 19-729
CH1993-17 匹配阴阳胎息诀图 19-730
CH1994 修真太极混元指玄图-正统道藏洞真部灵图类 19-731

CH1994-01 秘传胎息诀 19-731
CH1994-02 真龙虎交媾内丹诀图 19-731
CH1994-03 秘传内丹诀 19-731
CH1994-04 周天火候诀图 19-731
CH1994-05 秘传火候 19-731
CH1994-06 肘后飞金晶诀图 19-732
CH1994-07 秘传肘后术 19-732
CH1994-08 还丹诀图 19-732
CH1994-09 秘传还丹诀 19-732
CH1994-10 炼形秘诀图 19-732
CH1994-11 秘传炼形诀 19-733
CH1994-12 三田既济诀图 19-733
CH1994-13 秘传既济诀 19-733
CH1994-14 炼气成神朝元诀图 19-733



CH1994-15 炼气成神朝元诀秘传 19-733
CH1994-16 内观起火仙凡交换图 19-733
CH1994-17 秘传内观起火诀 19-733
CH1994-18 弃谷升仙入圣超凡图 19-733
CH1994-19 秘传弃谷诀 19-734
CH1995 龙虎手鉴图-正统道藏洞真部灵图类 19-735
CH1996 悟玄篇-正统道藏太玄部 19-737
CH1996-0 悟玄篇序 19-737
CH1996-01 悟玄篇 19-737
CH1996-02 形化 19-738
CH1996-03 气化 19-738
CH1996-04 坐工口诀 19-738
CH1996-05 火燥水滥 19-738
CH1996-06 沐浴 19-739
CH1996-07 玄关一窍 19-739
CH1996-08 药物 19-739
CH1996-09 火候 19-739
CH1996-10 中宫 19-739
CH1996-11 抱一 19-739
CH1996-12 出神名曰解胎 19-739
CH1996-13 玄关一窍 19-739
CH1996-14 药物 19-740
CH1996-15 初下手 19-740
CH1996-16 透关 19-740
CH1996-17 破境 19-740
CH1996-18 敌魔 19-740
CH1996-19 立基 19-740
CH1996-20 火候 19-740
CH1996-21 沐浴 19-740
CH1997 谷神篇-正统道藏洞真部方法类 19-742
CH1997-0 谷神篇叙 19-742
CH1997-1 卷上 19-742
CH1997-11 大药还丹诗 19-744
CH1997-12 理一真篇 19-746
CH1997-13 火候行持绝句诗 19-747
CH1997-2 卷下 19-750
CH1997-21 投壶口诀图 19-750
CH1997-22 含元抱朴之图 19-750
CH1997-23 都功虚名论 19-750
CH1997-24 水调歌头 19-752
CH1997-25 木金间隔体用之图 19-752
CH1997-26 元气生成之图 19-752
CH1997-27 元气说 19-752
CH1997-28 承师口诀有感(五言四韵) 19-757
CH1998 太上修真玄章-正统道藏太玄部 19-758

CH1998-01 一炁化生章第一 19-758
CH1998-02 性命根蒂章第二 19-758



CH1998-03 先天后天章第三 19-758
CH1998-04 形神玄用章第四 19-758
CH1998-05 金丹作为章第五 19-759
CH1998-06 虚无生化章第六 19-759
CH1998-07 修炼三治章第七 19-759
CH1998-08 神气交媾章第八 19-759
CH1998-09 动静升降章第九 19-759
CH1998-10 炼炁成神章第十 19-760
CH1999 修真十书-正统道藏洞真部方法类 19-761
CH1999-0 修真十书目录 19-761
CH199901 第一书杂着指玄篇 19-761

CH199901-01 卷一 19-761
CH19990101-1 白先生金丹火候图 19-761
CH19990101-2 丹法参同三十对偶 19-762
CH19990101-3 丹法参同七鉴 19-762
CH19990101-4 丹法参同十九诀 19-763
CH19990101-5 金丹捷径指玄图 19-763
CH19990101-6 金丹捷径 19-763
CH19990101-7 金丹论 19-764
CH19990101-8 修真论 19-764
CH19990102 卷二 19-765

CH19990102-1 还源篇序 19-765
CH19990102-2 还源篇(八十一章) 19-765
CH19990103 卷三 19-769

CH19990103-1 紫庭经 19-769
CH19990103-2 阴符髓 19-770
CH19990103-3 内三要 19-772
CH19990103-4 外三要 19-772
CH19990104 卷四 19-773

CH19990104-1 修仙辨惑论 19-773
CH19990104-2 谷神不死论 19-774
CH19990104-3 阴阳升降论 19-775
CH19990104-4 丹房法语 19-776
CH19990105 卷五 19-776
CH19990105 金丹四百字 19-776
CH19990106 卷六 19-781

CH19990106-1 谢张紫阳书 19-781
CH19990106-2 谢仙师寄书词 19-782
CH19990107 卷七 19-783

CH19990107-1 垂世八宝 19-783
CH19990107-2 醉思仙歌 19-783
CH19990107-3 丹诀歌 19-784
CH19990107-4 丹髓歌 19-784
CH19990107-5 后序 19-786
CH19990108 卷八 19-786

CH19990108-1 修真十戒 19-786
CH19990108-2 卫生歌 19-787



CH199902 第二书金丹大成集 19-789
CH19990209 卷九 19-789

CH19990209-1 无极图说 19-789
CH19990209-2 槖钥歌 19-792
CH19990209-3 金液还丹赋 19-792
CH19990209-4 金液还丹诗 19-792
CH19990209-5 金液还丹论 19-793
CH19990210 卷十 19-794
CH19990210 金丹问答 19-794
CH19990211 卷十一 19-799
CH19990211 七言绝句(八十一首) 19-799
CH19990212 卷十二 19-803

CH19990212-1 乐道歌 19-803
CH19990212-2 茅芦得意歌 19-804
CH19990212-3 剑歌 19-804
CH19990212-4 赠谌高士辞往武夷歌 19-805
CH19990212-5 赠邹峄山歌 19-805
CH19990212-6 西江月(十二首) 19-805
CH19990212-7 南乡子(十二首) 19-806
CH19990212-8 读参同契作 19-807
CH19990213 卷十三 19-808

CH19990213-1 解注崔公入药镜 19-808
CH19990213-2 解注吕公沁园春 19-811

CH199903 第三书钟吕传道集 19-814
CH19990314 卷十四 19-814

CH19990314-1 论真仙 19-814
CH19990314-2 论大道 19-816
CH19990314-3 论天地 19-817
CH19990314-4 论日月 19-818
CH19990314-5 论四时 19-819
CH19990314-6 论五行 19-820
CH19990315 卷十五 19-822

CH19990315-1 论水火 19-822
CH19990315-2 论龙虎 19-823
CH19990315-3 论丹药 19-824
CH19990315-4 论铅汞 19-826
CH19990315-5 论抽添 19-827
CH19990315-6 论河车 19-829
CH19990316 卷十六 19-830

CH19990316-1 论还丹 19-830
CH19990316-2 论炼形 19-832
CH19990316-3 论朝元 19-834
CH19990316-4 论内观 19-836
CH19990316-5 论魔难 19-838
CH19990316-6 论证验 19-839

CH199904 第四书杂着快捷方式 19-841
CH19990417 卷十七 19-841



翠虚篇
CH19990417 九转金丹秘诀 19-841
CH19990418 卷十八 19-849

CH19990418-01 体壳歌 19-849
CH19990418-02 吕公总心猿诗 19-849
CH19990418-03 养生息命诗 19-849
CH19990418-04 朱提点内境论 19-849
CH19990418-05 烟萝子内观经 19-850
CH19990418-06 存守九宫诀 19-850
CH19990418-07 三丹三田论 19-850
CH19990418-08 外丹内丹论 19-851
CH19990418-09 心脏总论 19-851
CH19990418-10 肝脏总论 19-851
CH19990418-11 脾脏总论 19-851
CH19990418-12 肺脏总论 19-851
CH19990418-13 肾脏总论 19-851
CH19990418-14 泥丸 19-851
CH19990418-15 三丹田 19-851
CH19990418-16 三焦 19-851
CH19990418-17 制三魂神 19-851
CH19990418-18 制七魄神 19-852
CH19990418-19 制三尸符 19-852
CH19990419 卷十九 19-852

CH19990419-1 锺离八段锦法 19-852
CH19990419-2 去病延寿六字法 19-854
CH19990419-3 孙真人四季行功养生歌 19-854
CH19990420 卷二十 19-854
CH19990420 养生篇(八十一章) 19-854
CH19990421 卷二十一 19-858

CH19990421-1 西岳窦先生修真指南 19-858
CH19990421-2 天元入药镜 19-860
CH19990421-3 坎离交媾之图 19-861
CH19990422 卷二十二 19-861

CH19990422-1 劝道歌 19-861
CH19990422-2 次韵劝道歌 19-862
CH19990422-3 绍之教授和劝道歌深明至理复歌元韵 19-862
CH19990422-4 承绪再用前韵 19-862
CH19990422-5 忆三用韵 19-863
CH19990422-6 承绪三次韵 19-863
CH19990422-7 通判夔州军州事郭邛次韵 19-863
CH19990423 卷二十三 19-864

CH19990423-1 临江仙 19-864
CH19990423-2 满庭芳 19-864
CH19990423-3 永遇乐 19-864
CH19990423-4 渔家傲 19-865
CH19990423-5 促拍满路花 19-866
CH19990424 卷二十四 19-866



CH19990424-1 太上传西王母握固法 19-866
CH19990424-2 抱一说 19-867
CH19990424-3 保精神 19-867
CH19990424-4 三茅真君诀 19-867
CH19990424-5 吕真人小成导引法 19-867
CH19990424-6 存想咽气 19-867
CH19990424-7 明耳目诀 19-868
CH19990424-7 养生延寿论 19-868
CH19990424-9 纳津法 19-868
CH19990425 卷二十五 19-869

CH19990425-1 天地交神论 19-869
CH19990425-2 逐日戒忌之辰 19-870
CH19990425-3 六字气歌诀 19-871
CH19990425-4 至游居士座右铭 19-871
CH19990425-5 咏道诗 19-871

CH199905 第五书悟真篇 19-871
CH19990526 卷二十六 19-871

CH19990526-1 悟真篇序 19-871
CH19990526-2 丹房宝鉴之图 19-873
CH19990526-3 挨排四象生真土诗 19-873
CH19990526-4 炼铅火候 19-873
CH19990526-5 火纪六百篇 19-873
CH19990526-6 沐浴 19-873
CH19990526-7 七言四韵(十六首) 19-874
CH19990527 卷二十七 19-883
CH19990527 绝句上(三十二首) 19-833
CH19990528 卷二十八 19-892
CH19990528 绝句下(三十二首) 19-892
CH19990529 卷二十九 19-900

CH19990529-1 西江月 19-900
CH19990529-2 读周易参同契 19-905
CH19990530 卷三十 19-906

CH19990530-01 禅宗歌颂 19-906
CH19990530-02 性地颂 19-906
CH19990530-03 无罪福 19-907
CH19990530-04 三界惟心 19-907
CH19990530-05 见物便见心 19-907
CH19990530-06 圆通 19-907
CH19990530-07 随他 19-907
CH19990530-08 宝月 19-907
CH19990530-09 心经颂 19-907
CH19990530-10 人我 19-907
CH19990530-11 韵雪窦禅师祖英集 19-907
CH19990530-12 戒定慧解 19-907
CH19990530-13 即心是佛颂 19-908
CH19990530-14 采珠歌 19-908
CH19990530-15 禅定指迷歌 19-908



CH19990530-16 无心颂 19-909
CH19990530-17 西江月 19-909
CH19990530-18 后叙 19-910

CH199906 第六书玉隆集 19-911
CH19990631 卷三十一 19-911

CH19990631-1 玉隆宫会仙阁记 19-911
CH19990631-2 阁皂山崇真宫昊天殿记 19-912
CH19990631-3 涌翠亭记 19-913
CH19990631-4 心远堂记 19-914
CH19990631-5 牧斋记 19-915
CH19990632 卷三十二 19-915

CH19990632-1 听赵琴士鸣弦 19-915
CH19990632-2 赠方壶高士 19-916
CH19990632-3 赠蓬壶丁高士琴诗 19-916
CH19990632-4 南岳九真歌题寿宁冲和阁 19-916
CH19990633 卷三十三 19-917
CH19990633 旌阳许真君传 19-917
CH19990634 卷三十四 19-923
CH19990634 续真君传 19-923
CH19990635 卷三十五 19-927

逍遥山诸仙传
CH19990635-01 吴君 19-927
CH19990635-02 蜀川陈勋庐陵周广乃世族儒生 19-927
CH19990635-03 周广 19-928
CH19990635-04 泗水曾亨巨鹿时荷皆黄冠上士 19-928
CH19990635-05 时荷 19-928
CH19990635-06 丰城甘战草泽布衣 19-928
CH19990635-07 沛郡施岑乡关壮士 19-929
CH19990635-08 兰陵彭抗南昌盱烈锺离嘉建城黄仁宽皆以懿戚久处师门 19-929
CH19990635-09 盱烈 19-929
CH19990635-10 锺离嘉 19-930
CH19990635-11 黄仁宽 19-930
CH19990636 卷三十六 19-931

CH19990636-1 兰公 19-931
CH19990636-2 谌姆 19-931
CH19990636-3 地主真官传 19-932
CH19990636-4 许大 19-933
CH19990636-5 胡詹二王 19-933
CH19990636-6 胡天师 19-933

CH199907 第七书上清集 19-934
CH19990737 卷三十七 19-934

CH19990737-1 游仙岩记 19-934
CH19990737-2 云窝记 19-935
CH19990737-3 驻云堂记 19-935
CH19990737-4 橘隐记 19-937
CH19990737-5 棘隐记 19-938
CH19990737-6 题棘隐壁三绝 19-939



CH19990738 卷三十八 19-939
CH19990738-01 题三清殿后壁 19-939
CH19990738-02 题丹枢先生草庵 19-939
CH19990738-03 赠赵大虚画竹石 19-940
CH19990738-04 赠画鱼者 19-940
CH19990738-05 赠部丞务芦鴈 19-940
